"Flash Dryer Capacity and price","Roots_daily_Req.","FD_capacity","FD_price_LT","Comp_equi_Cost_LT","Total_Cost_LT","FD_price_DRC","Comp_equi_Cost_DRC","Total_Cost_DRC","FD_price_NIG","Comp_equi_Cost_NIG","Total_Cost_NIG"
"50kg/h","1360","50","23273","9974","33247","8166","3500","11666","6536","2801","9338"
"100kg/h","2720","100","28947","12406","41353","14060","6026","20086","9497","4070","13567"
"150kg/h","4080","150","34457","14767","49224","19662","8427","28089","12228","5240","17468"
"200kg/h","5440","200","39802","17058","56860","24972","10702","35675","14728","6312","21041"
"250kg/h","6800","250","44983","19278","64261","29990","12853","42843","16999","7285","24284"
"300kg/h","8160","300","49999","21428","71427","34716","14878","49595","19040","8160","27200"
"350kg/h","9520","350","54851","23507","78358","39150","16779","55929","20850","8936","29786"
"400kg/h","10880","400","59538","25516","85054","43292","18554","61846","22431","9613","32045"
"450kg/h","12240","450","64061","27455","91515","47142","20204","67346","23782","10192","33974"
"500kg/h","13600","500","68419","29322","97741","50700","21729","72429","24903","10673","35575"
"550kg/h","14960","550","72613","31120","103732","53966","23128","77095","25793","11054","36848"
"600kg/h","16320","600","76642","32847","109489","56940","24403","81343","26454","11337","37791"
"650kg/h","17680","650","80507","34503","115010","59622","25552","85175","26885","11522","38407"
"700kg/h","19040","700","84207","36089","120296","62012","26577","88589","27085","11608","38693"
